Opcode(bin)	Opcode	Instruction		Bytes	Cycles
01000111	47	ORL A,@R1		1	1
01001000	48	ORL A,R0		1	1
01001001	49	ORL A,R1		1	1
01001010	4A	ORL A,R2		1	1
01001011	4B	ORL A,R3		1	1
01001100	4C	ORL A,R4		1	1
01001101	4D	ORL A,R5		1	1
01001110	4E	ORL A,R6		1	1
01001111	4F	ORL A,R7		1	1
01010000	50	JNC reladdr		2	2
01010001	51	ACALL addr11		2	2
01010010	52	ANL direct,A		2	1
01010011	53	ANL direct,#data	3	2
01010100	54	ANL A,#data		2	1
01010101	55	ANL A,direct		2	1
01010110	56	ANL A,@R0		1	1
01010111	57	ANL A,@R1		1	1
01011000	58	ANL A,R0		1	1
01011001	59	ANL A,R1		1	1
01011010	5A	ANL A,R2		1	1
01011011	5B	ANL A,R3		1	1
01011100	5C	ANL A,R4		1	1
01011101	5D	ANL A,R5		1	1
01011110	5E	ANL A,R6		1	1
01011111	5F	ANL A,R7		1	1
01100000	60	JZ reladdr		2	2
01100001	61	AJMP addr11		2	2	
01100010	62	XRL direct,A		2	1
01100011	63	XRL direct,#data	3	2
01100100	64	XRL A,#data		2	1
01100101	65	XRL A,direct		2	1
01100110	66	XRL A,@R0		1	1
01100111	67	XRL A,@R1		1	1
01101000	68	XRL A,R0		1	1
01101001	69	XRL A,R1		1	1
01101010	6A	XRL A,R2		1	1
01101011	6B	XRL A,R3		1	1
01101100	6C	XRL A,R4		1	1
01101101	6D	XRL A,R5		1	1
01101110	6E	XRL A,R6		1	1
01101111	6F	XRL A,R7		1	1
01110000	70	JNZ reladdr		2	2
01110001	71	ACALL addr11		2	2
01110010	72	ORL C,bitaddr		2	2
01110011	73	JMP @A+DPTR		1	2
01110100	74	MOV A,#data		2	1
01110101	75	MOV direct,#data	3	2
01110110	76	MOV @R0,#data		2	1
01110111	77	MOV @R1,#data		2	1
01111000	78	MOV R0,#data		2	1
01111001	79	MOV R1,#data		2	1
01111010	7A	MOV R2,#data		2	1
01111011	7B	MOV R3,#data		2	1
01111100	7C	MOV R4,#data		2	1
01111101	7D	MOV R5,#data		2	1
01111110	7E	MOV R6,#data		2	1
01111111	7F	MOV R7,#data		2	1
10000000	80	SJMP reladdr		2	2
10000001	81	AJMP addr11		2	2
10000010	82	ANL C,bitaddr		2	1
10000011	83	MOVC A,@A+PC		1	1
10000100	84	DIV AB			1	4
10000101	85	MOV direct,direct	3	1
10000110	86	MOV direct,@R0		2	2
10000111	87	MOV direct,@R1		2	2
10001000	88	MOV direct,R0		2	2
10001001	89	MOV direct,R1		2	2
10001010	8A	MOV direct,R2		2	2
10001011	8B	MOV direct,R3		2	2
10001100	8C	MOV direct,R4		2	2
10001101	8D	MOV direct,R5		2	2
10001110	8E	MOV direct,R6		2	2
10001111	8F	MOV direct,R7		2	2
10010000	90	MOV DPTR,#data16	3	2
10010001	91	ACALL addr11		2	2
10010010	92	MOV bitaddr,C		2	2
10010011	93	MOVC A,@A+DPTR		1	2
10010100	94	SUBB A,#data		2	1
10010101	95	SUBB A,direct		2	1
10010110	96	SUBB A,@R0		1	1
10010111	97	SUBB A,@R1		1	1
10011000	98	SUBB A,R0		1	1
10011001	99	SUBB A,R1		1	1
10011010	9A	SUBB A,R2		1	1
10011011	9B	SUBB A,R3		1	1
10011100	9C	SUBB A,R4		1	1
10011101	9D	SUBB A,R5		1	1
10011110	9E	SUBB A,R6		1	1
10011111	9F	SUBB A,R7		1	1
10100000	A0	ORL C,/bitaddr		2	1
10100001	A1	AJMP addr11		2	2
10100010	A2	MOV C,bitaddr		2	1
10100011	A3	INC DPTR		1	2
10100100	A4	MUL AB			1	4
10100101	A5	INVALID			1	1
10100110	A6	MOV @R0,direct		2	2
10100111	A7	MOV @R1,direct		2	2
10101000	A8	MOV R0,direct		2	2
10101001	A9	MOV R1,direct		2	2
10101010	AA	MOV R2,direct		2	2
10101011	AB	MOV R3,direct		2	2
10101100	AC	MOV R4,direct		2	2
10101101	AD	MOV R5,direct		2	2
10101110	AE	MOV R6,direct		2	2
10101111	AF	MOV R7,direct		2	2
10110000	B0	ANL C,/bitaddr		2	1
10110001	B1	ACALL addr11		2	2
10110010	B2	CPL bitaddr		2	1
10110011	B3	CPL C			1	1
10110100	B4	CJNE A,#data,reladdr	3	2
10110101	B5	CJNE A,direct,reladdr	3	2
10110110	B6	CJNE @R0,#data,reladdr	3	2
10110111	B7	CJNE @R1,#data,reladdr	3	2
10111000	B8	CJNE R0,#data,reladdr	3	2
10111001	B9	CJNE R1,#data,reladdr	3	2
10111010	BA	CJNE R2,#data,reladdr	3	2
10111011	BB	CJNE R3,#data,reladdr	3	2
10111100	BC	CJNE R4,#data,reladdr	3	2
10111101	BD	CJNE R5,#data,reladdr	3	2
10111110	BE	CJNE R6,#data,reladdr	3	2
10111111	BF	CJNE R7,#data,reladdr	3	2
11000000	C0	PUSH direct		2	2
11000001	C1	AJMP addr11		2	2	
11000010	C2	CLR bitaddr		2	1
11000011	C3	CLR C			1	1
11000100	C4	SWAP A			1	1
11000101	C5	XCH A,direct		2	1
11000110	C6	XCH A,@R0		1	1
11000111	C7	XCH A,@R1		1	1
11001000	C8	XCH A,R0		1	1
11001001	C9	XCH A,R1		1	1
11001010	CA	XCH A,R2		1	1
11001011	CB	XCH A,R3		1	1
11001100	CC	XCH A,R4		1	1
11001101	CD	XCH A,R5		1	1
11001110	CE	XCH A,R6		1	1
11001111	CF	XCH A,R7		1	1
11010000	D0	POP direct		2	2
11010001	D1	ACALL addr11		2	2
11010010	D2	SETB bitaddr		2	1
11010011	D3	SETB C			1	1
11010100	D4	DA A			1	1
11010101	D5	DJNZ direct,reladdr	3	2
11010110	D6	XCHD A,@R0		1	1
11010111	D7	XCHD A,@R1		1	1
11011000	D8	DJNZ R0,reladdr		2	2
11011001	D9	DJNZ R1,reladdr		2	2
11011010	DA	DJNZ R2,reladdr		2	2
11011011	DB	DJNZ R3,reladdr		2	2
11011100	DC	DJNZ R4,reladdr		2	2
11011101	DD	DJNZ R5,reladdr		2	2
11011110	DE	DJNZ R6,reladdr		2	2
11011111	DF	DJNZ R7,reladdr		2	2
11100000	E0	MOVX A,@DPTR		1	2
11100001	E1	AJMP addr11		2	2	
11100010	E2	MOVX A,@R0		1	2
11100011	E3	MOVX A,@R1		1	2
11100100	E4	CLR A			1	1
11100101	E5	MOV A,direct		2	1
11100110	E6	MOV A,@R0		1	1
11100111	E7	MOV A,@R1		1	1
11101000	E8	MOV A,R0		1	1
11101001	E9	MOV A,R1		1	1
11101010	EA	MOV A,R2		1	1
11101011	EB	MOV A,R3		1	1
11101100	EC	MOV A,R4		1	1
11101101	ED	MOV A,R5		1	1
11101110	EE	MOV A,R6		1	1
11101111	EF	MOV A,R7		1	1
11110000	F0	MOVX @DPTR,A		1	2
11110001	F1	ACALL addr11		2	2
11110010	F2	MOVX @R0,A		1	2
11110011	F3	MOVX @R1,A		1	2
11110100	F4	CPL A			1	1
11110101	F5	MOV direct,A		2	1
11110110	F6	MOV @R0,A		1	1
11110111	F7	MOV @R1,A		1	1
11111000	F8	MOV R0,A		1	1
11111001	F9	MOV R1,A		1	1
11111010	FA	MOV R2,A		1	1
11111011	FB	MOV R3,A	       	1	1
11111100	FC	MOV R4,A	    	1	1
11111101	FD	MOV R5,A	    	1	1
11111110	FE	MOV R6,A	    	1	1
11111111	FF	MOV R7,A	    	1	1
